z,wT
5.0,0.00039189995680430676
15.0,0.0019272018263721841
25.0,0.003108833993462378
35.0,0.003702970751204375
45.0,0.003950344959994494
55.0,0.004038644785383371
65.0,0.004047048401805083
75.0,0.004018301200808003
85.0,0.003967586181453623
95.0,0.003900852906171532
105.0,0.0038215143160877647
115.0,0.0037362475837496045
125.0,0.0036458348550842943
135.0,0.0035522171960492414
145.0,0.0034561317553980066
155.0,0.003359955061366825
165.0,0.003263855896922446
175.0,0.0031696799983722723
185.0,0.003076056705436026
195.0,0.0029819789530694195
205.0,0.00288860006618841
215.0,0.0027977247105029166
225.0,0.0027075407688653083
235.0,0.0026170726089559415
245.0,0.002526277579210814
255.0,0.0024349214090907314
265.0,0.0023427915677977497
275.0,0.0022506158899338415
285.0,0.0021584588059599787
295.0,0.0020661552187116123
305.0,0.0019729970928781104
315.0,0.001879043887387789
325.0,0.0017845451693630139
335.0,0.0016905833963748566
345.0,0.0015965782179743681
355.0,0.0015020693355564713
365.0,0.0014072716249111258
375.0,0.001311521406474049
385.0,0.001215354321350465
395.0,0.0011196869884251884
405.0,0.0010240896811474231
415.0,0.0009292162050029732
425.0,0.000835183388801163
435.0,0.0007414080656116803
445.0,0.0006473503508005142
455.0,0.0005533767081123337
465.0,0.0004591788306302224
475.0,0.0003652021232195887
485.0,0.0002714873423057622
495.0,0.00017741932392370516
505.0,8.212062702955728e-05
515.0,-1.4156196003174679e-05
525.0,-0.00011196286026175347
535.0,-0.0002117204863719531
545.0,-0.0003133799946719881
555.0,-0.00041567556887865144
565.0,-0.000519413725765877
575.0,-0.0006243789222616079
585.0,-0.0007300609628599342
595.0,-0.0008349340454641672
605.0,-0.0009411451959213483
615.0,-0.001050413206384419
625.0,-0.001161316387459893
635.0,-0.001273122301453882
645.0,-0.0013876097447092744
655.0,-0.0015092274422406947
665.0,-0.0016391931011103548
675.0,-0.0017729009016649528
685.0,-0.0019087106090345499
695.0,-0.0020537884227626404
705.0,-0.002204436161939501
715.0,-0.0023609500466470913
725.0,-0.0025597864936002497
735.0,-0.0027846868976513185
745.0,-0.003015188270510349
755.0,-0.003284597401131031
765.0,-0.003392024066470493
775.0,-0.0030124483309875443
785.0,-0.002052646282344727
795.0,-0.001181617091200042
805.0,-0.0007862204281526864
815.0,-0.0005395957264936201
825.0,-0.0003222462430430752
835.0,-0.00016651708308514543
845.0,-6.42025872835449e-05
855.0,-1.3230989618131086e-05
865.0,-5.027570013731217e-07
875.0,4.751865762385046e-06
885.0,-3.99595313403716e-06
895.0,-2.034517591708698e-06
905.0,-3.6991085983742568e-06
915.0,-3.2257066103657615e-06
925.0,-2.050123957281835e-06
935.0,-4.718225089415881e-07
945.0,7.277631127958214e-07
955.0,1.4527862064086058e-06
965.0,1.928446695609407e-06
975.0,2.447687682030395e-06
985.0,3.1434373691215905e-06
995.0,3.913261393441528e-06
1005.0,4.58694071554563e-06
1015.0,5.092171977068767e-06
1025.0,5.403482851526216e-06
1035.0,5.5165181325522695e-06
1045.0,5.417729841117269e-06
1055.0,5.113989813132116e-06
1065.0,4.6078323640853515e-06
1075.0,3.895692248762436e-06
1085.0,2.954426170836751e-06
1095.0,1.8223851319532497e-06
1105.0,5.863181227106569e-07
1115.0,-6.769390779887878e-07
1125.0,-1.931225225294617e-06
1135.0,-3.15054263085169e-06
1145.0,-4.302756649186004e-06
1155.0,-5.3172814614103336e-06
1165.0,-6.116922069701803e-06
1175.0,-6.656628164092125e-06
1185.0,-6.946527656677719e-06
1195.0,-7.029394764364234e-06
1205.0,-6.964112934515662e-06
1215.0,-6.810625865759609e-06
1225.0,-6.6240767825448375e-06
1235.0,-6.4332836849721e-06
1245.0,-6.242734335928217e-06
1255.0,-6.0260471993045306e-06
1265.0,-5.742709066362173e-06
1275.0,-5.3304924460723e-06
1285.0,-4.729051130182261e-06
1295.0,-3.896024828419316e-06
1305.0,-2.846769063199276e-06
1315.0,-1.6434178555981544e-06
1325.0,-3.904367805071781e-07
1335.0,8.068620213091519e-07
1345.0,1.8443166379557922e-06
1355.0,2.6398479548811635e-06
1365.0,3.1242124122549584e-06
1375.0,3.255259471667119e-06
1385.0,3.002407076828325e-06
1395.0,2.357752965772158e-06
1405.0,1.331580176264645e-06
1415.0,-2.3694750638782427e-08
1425.0,-1.6118907834458554e-06
1435.0,-3.2922976552472585e-06
1445.0,-4.902386869613995e-06
1455.0,-6.27422217219792e-06
1465.0,-7.264258811582851e-06
1475.0,-7.759750712968917e-06
1485.0,-7.691355328438483e-06
1495.0,-7.022258087145985e-06
1505.0,-5.753466917771529e-06
1515.0,-3.930978762800316e-06
1525.0,-1.6453529403112509e-06
1535.0,9.693964190568573e-07
1545.0,3.7543742131822963e-06
1555.0,6.5369175211644815e-06
1565.0,9.164494721982953e-06
1575.0,1.1524370302866509e-05
1585.0,1.3568651873160212e-05
1595.0,1.529588724695548e-05
1605.0,1.674750877966112e-05
1615.0,1.7985956550020516e-05
1625.0,1.9075941375578936e-05
1635.0,2.0064667560161795e-05
1645.0,2.0962357788136182e-05
1655.0,2.1760637855153046e-05
1665.0,2.2433983218724242e-05
1675.0,2.296139135845618e-05
1685.0,2.3323835271221638e-05
1695.0,2.3518405450939913e-05
1705.0,2.3533714225684248e-05
1715.0,2.3352682442610492e-05
1725.0,2.2934282500301646e-05
1735.0,2.224171872975081e-05
1745.0,2.1244835759893277e-05
1755.0,1.9944712741103547e-05
1765.0,1.8375935045017176e-05
1775.0,1.661587041834315e-05
1785.0,1.4754103725156005e-05
1795.0,1.288454911774224e-05
1805.0,1.1067466233873907e-05
1815.0,9.347782372247122e-06
1825.0,7.734916231890002e-06
1835.0,6.234224632357653e-06
1845.0,4.840680967936096e-06
1855.0,3.5788072531838658e-06
1865.0,2.493257174983311e-06
1875.0,1.6346971184042667e-06
1885.0,9.89430658408835e-07
1895.0,4.2395796741104193e-07
1905.0,1.3508851409614672e-07
1915.0,1.6360501567096684e-08
