z,WindDir
2.4347826086956523,250.13852746711703
7.304347826086957,250.43776568823213
12.173913043478262,250.67112051602248
17.043478260869566,250.87606796435745
21.91304347826087,251.06630503212685
26.782608695652176,251.2310803005622
31.65217391304348,251.37668989986176
36.52173913043478,251.50790724919946
41.39130434782609,251.62734376930192
46.26086956521739,251.73696137551207
51.1304347826087,251.84124364880643
56.0,251.94378948306425
60.86956521739131,252.04576324450835
65.73913043478261,252.14879050261692
70.60869565217392,252.2543417485367
75.47826086956522,252.36232088226905
80.34782608695653,252.47411901628706
85.21739130434783,252.58934298365256
90.08695652173914,252.7061369062019
94.95652173913044,252.82391763472563
99.82608695652175,252.94311522115277
104.69565217391305,253.0639242916678
109.56521739130436,253.1859826264921
114.43478260869566,253.30837273674933
119.30434782608697,253.43074803993986
124.17391304347827,253.55417380022732
129.04347826086956,253.67879477078782
133.91304347826087,253.8033863435352
138.7826086956522,253.9262699357049
143.6521739130435,254.04777072625538
148.52173913043478,254.16992483240577
153.3913043478261,254.29366026179318
158.2608695652174,254.41784354897885
163.13043478260872,254.5405824380518
168.0,254.6617271728116
172.8695652173913,254.78270845238904
177.73913043478262,254.90423700606908
182.60869565217394,255.0278341716414
187.47826086956522,255.15411871899897
192.34782608695653,255.2822856104421
197.21739130434784,255.4122524284547
202.08695652173915,255.5448508791412
206.95652173913044,255.68052514715146
211.82608695652175,255.8183907356945
216.69565217391306,255.9576751025876
221.56521739130437,256.09891431661043
226.43478260869566,256.2428542645404
231.30434782608697,256.3896978124791
236.17391304347828,256.53910884774905
241.0434782608696,256.69094427169944
245.91304347826087,256.8474702448702
250.7826086956522,257.01046563415804
255.6521739130435,257.1810830963044
260.5217391304348,257.3604305129751
265.3913043478261,257.5506272231271
270.26086956521743,257.75314494043545
275.1304347826087,257.9680081669838
280.0,258.1973591659523
284.8695652173913,258.4478242102296
289.7391304347826,258.7263316664326
294.60869565217394,259.0380790366352
299.47826086956525,259.38917747478996
304.34782608695656,259.78748022625587
309.21739130434787,260.24274156071124
314.0869565217391,260.76809969416587
318.95652173913044,261.3799383231689
323.82608695652175,262.0934415193694
328.69565217391306,262.92188867253776
333.5652173913044,263.8685009822681
338.4347826086957,264.9161421777634
343.304347826087,266.01868242982823
348.1739130434783,267.10015821916755
353.04347826086956,268.0571591917597
357.9130434782609,268.803510334394
362.7826086956522,269.31455593622655
367.6521739130435,269.62375732246943
372.5217391304348,269.78688406399925
377.3913043478261,269.85617918734056
382.26086956521743,269.8727636840158
387.13043478260875,269.8660959757666
392.0,269.8551073073899
396.8695652173913,269.8490194765831
401.7391304347826,269.84910538035956
406.60869565217394,269.85278660847604
411.47826086956525,269.85708456380075
416.34782608695656,269.8599314730813
421.21739130434787,269.8611100944271
426.0869565217392,269.8622246101579
430.95652173913044,269.86519711176277
435.82608695652175,269.8703932659867
440.69565217391306,269.87650518101793
445.5652173913044,269.8820723601682
450.4347826086957,269.8866171605116
455.304347826087,269.89009711234837
460.1739130434783,269.89208305520293
465.0434782608696,269.89189861603035
469.9130434782609,269.88901783519213
474.7826086956522,269.88343029679623
479.6521739130435,269.8761815963913
484.5217391304348,269.869080535693
489.3913043478261,269.86406092792373
494.26086956521743,269.86226715710154
499.13043478260875,269.86358493586886
504.00000000000006,269.86696831577444
508.8695652173913,269.87106920027423
513.7391304347826,269.8747512178376
518.608695652174,269.8773073533027
523.4782608695652,269.87866146548714
528.3478260869565,269.8793620513472
533.2173913043479,269.880243107089
538.0869565217391,269.8821160157096
542.9565217391305,269.88512590562124
547.8260869565217,269.8883508337089
552.6956521739131,269.89051311316524
557.5652173913044,269.8909214329804
562.4347826086957,269.8895410054272
567.304347826087,269.8865703319003
572.1739130434783,269.8826322963265
577.0434782608696,269.8790807880673
581.9130434782609,269.87717427581623
586.7826086956522,269.8774306991458
591.6521739130435,269.87956192008386
596.5217391304349,269.88275430316776
601.3913043478261,269.8859962483482
606.2608695652174,269.8886143556246
611.1304347826087,269.89079675709434
616.0,269.89291367218317
620.8695652173914,269.8952031891777
625.7391304347826,269.89799625081406
630.608695652174,269.9014545832657
635.4782608695652,269.90524146946103
640.3478260869566,269.9084865728411
645.2173913043479,269.91046014002944
650.0869565217391,269.9111293261437
654.9565217391305,269.9107488859419
659.8260869565217,269.909653530346
664.6956521739131,269.90829298540325
669.5652173913044,269.90703359008415
674.4347826086957,269.90624327709344
679.304347826087,269.9059989540852
684.1739130434783,269.9061227805294
689.0434782608696,269.9063613648137
693.9130434782609,269.90677608959095
698.7826086956522,269.90808491651626
703.6521739130435,269.9107061043711
708.5217391304349,269.9141398889985
713.3913043478261,269.91777887215306
718.2608695652175,269.9212654760397
723.1304347826087,269.92403572006
728.0,269.92554170581246
732.8695652173914,269.9255676437852
737.7391304347826,269.9241730265226
742.608695652174,269.9216626890092
747.4782608695652,269.9184390881371
752.3478260869566,269.9153021530816
757.2173913043479,269.913157155901
762.0869565217391,269.91228516683526
766.9565217391305,269.91230992653976
771.8260869565217,269.91236925799524
776.6956521739131,269.9116824082387
781.5652173913044,269.91034241021873
786.4347826086957,269.90967701714317
791.304347826087,269.91147285760843
796.1739130434784,269.91610596852445
801.0434782608696,269.92231752598144
805.9130434782609,269.92886087164374
810.7826086956522,269.9354803046032
815.6521739130435,269.9421854737892
820.5217391304349,269.9484325069153
825.3913043478261,269.9534373457352
830.2608695652175,269.9567874812177
835.1304347826087,269.9581822975526
840.0,269.95730696331464
844.8695652173914,269.9544024422531
849.7391304347826,269.9509552172814
854.608695652174,269.94933034978476
859.4782608695652,269.951452754958
864.3478260869566,269.9564128562571
869.2173913043479,269.96100766507203
874.0869565217392,269.9624080421516
878.9565217391305,269.9600032110411
883.8260869565217,269.95694722857417
888.6956521739131,269.95942032460243
893.5652173913044,269.9732693330073
